Ano;Mes;Estacao;Crescimento
2021;1;Verão;30
2021;1;Verão;32
2021;1;Verão;32
2021;1;Verão;32
2021;1;Verão;30
2021;1;Verão;30
2021;1;Verão;31
2021;1;Verão;31
2021;1;Verão;30
2021;1;Verão;30
2021;1;Verão;31
2021;1;Verão;32
2021;1;Verão;31
2021;1;Verão;31
2021;1;Verão;31
2021;1;Verão;30
2021;1;Verão;32
2021;1;Verão;31
2021;1;Verão;32
2021;1;Verão;31
2021;2;Verão;33
2021;2;Verão;33
2021;2;Verão;33
2021;2;Verão;32
2021;2;Verão;33
2021;2;Verão;33
2021;2;Verão;31
2021;2;Verão;31
2021;2;Verão;32
2021;2;Verão;30
2021;2;Verão;31
2021;2;Verão;33
2021;2;Verão;32
2021;2;Verão;31
2021;2;Verão;31
2021;2;Verão;30
2021;2;Verão;33
2021;2;Verão;31
2021;2;Verão;33
2021;2;Verão;31
2021;3;Verão;34
2021;3;Verão;32
2021;3;Verão;35
2021;3;Verão;32
2021;3;Verão;32
2021;3;Verão;34
2021;3;Verão;32
2021;3;Verão;31
2021;3;Verão;34
2021;3;Verão;31
2021;3;Verão;37
2021;3;Verão;37
2021;3;Verão;38
2021;3;Verão;37
2021;3;Verão;35
2021;3;Verão;37
2021;3;Verão;37
2021;3;Verão;35
2021;3;Verão;37
2021;3;Verão;38
2021;3;Outono;38
2021;3;Outono;36
2021;3;Outono;35
2021;3;Outono;35
2021;3;Outono;35
2021;3;Outono;35
2021;3;Outono;34
2021;3;Outono;35
2021;3;Outono;36
2021;3;Outono;34
2021;3;Outono;35
2021;3;Outono;34
2021;3;Outono;35
2021;3;Outono;35
2021;3;Outono;35
2021;3;Outono;35
2021;3;Outono;34
2021;3;Outono;36
2021;3;Outono;34
2021;3;Outono;36
2021;4;Outono;38
2021;4;Outono;38
2021;4;Outono;36
2021;4;Outono;38
2021;4;Outono;35
2021;4;Outono;37
2021;4;Outono;39
2021;4;Outono;38
2021;4;Outono;37
2021;4;Outono;38
2021;4;Outono;39
2021;4;Outono;38
2021;4;Outono;37
2021;4;Outono;36
2021;4;Outono;36
2021;4;Outono;39
2021;4;Outono;35
2021;4;Outono;39
2021;4;Outono;37
2021;4;Outono;36
2021;5;Outono;38
2021;5;Outono;38
2021;5;Outono;36
2021;5;Outono;38
2021;5;Outono;35
2021;5;Outono;37
2021;5;Outono;39
2021;5;Outono;38
2021;5;Outono;37
2021;5;Outono;38
2021;5;Outono;39
2021;5;Outono;38
2021;5;Outono;37
2021;5;Outono;36
2021;5;Outono;36
2021;5;Outono;39
2021;5;Outono;35
2021;5;Outono;39
2021;5;Outono;37
2021;5;Outono;36
2021;6;Outono;55
2021;6;Outono;58
2021;6;Outono;57
2021;6;Outono;58
2021;6;Outono;57
2021;6;Outono;59
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Outono;55
2021;6;Inverno;88
2021;6;Inverno;87
2021;6;Inverno;86
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;88
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;89
2021;6;Inverno;88
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;6;Inverno;90
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
2021;7;Inverno;95
