Data;Estacao_Ano;Tipo_Planta;Tipo_Solo;Temperatura_C;Chuva_mm;Horas_Sol_Dia;Humidade_Solo;Frequencia_Podas;Nivel_Pesticida;Cor_Folha;Densidade_Fibra;Tamanho_Raiz_cm;Indice_Crescimento;Resistencia_Clima;Ervas_Daninhas;Num_Praga;Altura_cm;Tempo_Crescimento_horas;Litros_Agua_Semana;Saude;Custo_Cultivo;Preco_Venda;Tempo_Vida_dias
2020-01-01;Inverno;Tomate;Arenoso;-142.82178301353932;-33.50138789446741;-155.6702134513738;39.24265684705942;-72.0;-78.79518163571957;7.489056900784498;2.969967901834477;41.177492947748554;0.44805071400239205;-159.15734419745365;0.0;0.0;-6109.933278827288;1283856.4059655385;870898.6656395247;Doente;366221205.624094;34052551778.155674;1208944.7471741473
2020-01-02;Inverno;Batata;Arenoso;-151.68962427022063;-5.484920433443662;-153.0865302081237;-5.092619382251566;-75.0;-79.49674591848068;27.74828671571337;1.6941195236034374;44.06779312250329;0.2859042793591168;-149.52888670060352;0.0;0.0;-40637.888981806995;1365896.6139527173;944749.8880128722;Doente;361461107.22949004;59910725606.44873;1481377.0008005607
2020-01-03;Inverno;Soja;Argiloso;-132.36077463361073;-127.99060378903368;-151.56543739122262;-15.941086427169004;-79.0;-76.29596503834696;15.147680271481395;1.4015197132001669;40.441485696022184;1.1776162473793554;-158.6678902768456;0.0;0.0;-376520.5911099949;1612399.0900528347;1184480.6337318327;Doente;495144154.7874536;112149276505.82718;212363.80114495382
2020-01-04;Inverno;Batata;Humoso;-142.50427587168707;-91.03190166892718;-150.8059975441475;31.242780220649443;-73.0;-79.94681825526169;6.00431594097613;2.0642210002663055;10.495425044818514;0.32402434826738774;-149.79441839007887;0.0;0.0;-163693.13662540444;1404261.4366423534;991437.5372291901;Doente;430597155.56390065;81035971313.59926;678837.8444085631
2020-01-05;Inverno;Batata;Arenoso;-142.2147945847567;-31.73391361757382;-153.00997292504613;-5.668136583494171;-71.0;-79.84888630811415;25.78037831265766;1.0694425504888296;33.38428607113797;0.7610136703533287;-153.76988350119154;0.0;0.0;-108079.01897401671;1414649.3371669543;991273.054419207;Doente;389133415.8507648;30676339559.25229;1203700.8480131547
2020-01-06;Inverno;Trigo;Humoso;-149.3522601736897;60.100712317826975;-157.95494949801557;7.0653438666470905;-72.0;-78.764573993434;40.18205724626217;1.9862639740280015;47.99521334049822;1.1248078097875926;-151.22590608557582;0.0;0.0;147019.5345610195;1218940.2398935521;798705.9296325118;Doente;286341029.6942245;61863556531.09421;2129218.4865738736
2020-01-07;Inverno;Soja;Argiloso;-158.4403194406688;-53.27819192896831;-156.50946578785172;-15.9856727373163;-73.0;-77.68610365276578;32.558384706419524;2.1105330804903;26.584357538143347;0.9660692376286828;-156.87903003262574;0.0;0.0;-189697.85826426608;1492500.2586031735;1056065.7013519618;Doente;417183422.8558327;50243157459.18081;942004.2836061693
2020-01-08;Inverno;Soja;Argiloso;-159.04768703881035;-45.125594789273066;-157.20219036917305;-4.636269460842666;-79.0;-78.22567055457291;23.539330399254315;3.552125528750711;17.959316173187325;1.5584573166355389;-152.2082431394109;0.0;0.0;-141046.01873498913;1445798.5041038424;1010772.7829203054;Doente;402401535.7911666;55901258004.51052;1052969.8486028612
2020-01-09;Inverno;Soja;Humoso;-147.29994567540408;12.939217801324446;-155.09340419544793;35.02801908914138;-73.0;-80.0329630040168;27.258518215351916;3.3741792290879253;35.492511509142076;1.2898162373832305;-149.93078184429964;0.0;0.0;103167.9390361103;1216260.593105898;802642.4170927465;Doente;320081730.78899515;32749619173.532707;1707865.4737351462
2020-01-10;Inverno;Batata;Argiloso;-157.46303865708288;-9.241448542776396;-153.98919205093003;35.832610890130994;-78.0;-75.46958676801609;17.84898369764;2.1247958624601164;44.2330813618154;1.2236473055901844;-157.85555713124046;0.0;0.0;52300.14049246437;1252500.393076507;838638.1819200318;Doente;342799787.67844296;74913422043.0486;1454559.1229241272
2020-01-11;Inverno;Tomate;Siltoso;-141.79459133379584;-70.21476998033336;-157.6528225713715;-5.979202651793397;-78.0;-75.49269695558043;-1.498896840024573;2.770258178465424;7.248431275093844;0.5876101307251426;-158.47954240684408;0.0;0.0;-211376.92248663388;1491335.812573449;1057772.0085835021;Doente;429358987.2063191;45635386331.50237;777569.4047861227
2020-01-12;Inverno;Soja;Siltoso;-133.57080983081028;-47.83672088651444;-155.21217619363475;3.038828763535143;-72.0;-78.86026294116704;25.660779931133465;2.702481913745276;35.912087905509;0.2015302679294972;-155.71057943808225;0.0;0.0;-129283.78092631325;1421878.1286075364;994608.5788639393;Doente;401053293.39975834;61108436533.99103;1038162.9671706231
2020-01-13;Inverno;Cenoura;Argiloso;-133.51255550443835;-86.46004022855351;-156.5665626029974;-11.07845105737108;-72.0;-76.59941648102793;25.105261190017927;2.4190585704424654;41.99210392354628;1.3179518805506625;-156.133099604823;0.0;0.0;-263295.90959592024;1535974.3386348642;1099276.1924613724;Doente;449035152.6257826;98092186003.44588;625123.5410417905
2020-01-14;Inverno;Batata;Siltoso;-140.22863769603302;63.2042918260417;-152.823438669929;-15.28305627398856;-72.0;-77.36416750045473;11.889592747542558;2.974156035694116;34.15579990394848;1.5394014970256402;-158.1439000486435;0.0;0.0;105186.68772953635;1272064.3771000896;855467.4099746877;Doente;295559065.5061133;32772834738.966557;2128743.174857705
2020-01-15;Inverno;Trigo;Arenoso;-153.66304505581206;-103.87312368852805;-154.28582104540527;48.97687961745554;-77.0;-79.06966108234272;41.07222190544458;3.2470304686073956;40.30079892394308;0.8080073298527606;-151.46716816972406;0.0;0.0;-157351.87672538336;1377696.5110155852;964406.186141767;Doente;434146561.47434646;93179058425.31975;529073.4790631341
2020-01-16;Inverno;Tomate;Humoso;-134.11009505923386;-55.632643086716115;-154.03745882452873;25.41643619320562;-74.0;-78.94618679866277;4.366039249510593;2.453816331789067;33.46117197546285;1.4695024775516632;-157.61209239045206;0.0;0.0;-96012.45005996789;1360452.666401565;946987.9730828421;Doente;396947644.7016711;70525848738.10442;984997.6511059506
